Haunted City	1	purple	2	For the purposes of victory points, the Haunted City is considered to be of the color of your choice.  You cannot use this ability if you built it during the last round of the game
Graveyard	1	purple	5	When the Warlord destroys a district, you may pay one gold to take the destroyed district into your hand.  You may not do this if you are the Warlord
Library	1	purple	6	If you choose to draw cards when you take an action, you keep both of the cards you have drawn.
Great Wall	1	purple	6	The cost for the Warlord to destory any of your other districts is increased by one gold
School Of Magic	1	purple	6	For the purposes of income, the School Of Magic is considered to be the color of your choice.  If you are the King this round, for example, the School is considered to be a noble (yellow) district.
Lighthouse	1	purple	3	When you place the Lighthouse in your city, you may look through the District Deck, choose one card and add it to your hand.  Shuffle the deck afterwards.
Quarry	1	purple	5	When building, you may play a district already found in your city.  You may only have one such duplicate district in your city at any one time
Bell Tower	1	purple	5	When you place the Bell Tower in your city, you may announce that the game will end after the round in which a player first places his 7th district.  You may do this even if the Bell Tower is your 7th district.  If the Bell Tower is later destroyed, the game end conditions return to normal
Factory	1	purple	6	Your cost for building OTHER purple district cards is reduced by one.  This does not affect the Warlord's cost for destroying the card
Hospital	1	purple	6	Even if you are assassinated, you may take an action during your turn (but you may not build a district card or use your character's power).
